"filename", "language", "JavaScript", "HTML", "JSON", "JavaScript JSX", "CSS", "XML", "Markdown", "comment", "blank", "total"
"c:\Users\Admin\Desktop\KPGU Website\src\components\Pages\Campus\pages\Infrastructure\Auditorium.jsx", "JavaScript JSX", 0, 0, 0, 21, 0, 0, 0, 0, 3, 24
"c:\Users\Admin\Desktop\KPGU Website\src\components\Pages\Campus\pages\Infrastructure\BankAndAtm.jsx", "JavaScript JSX", 0, 0, 0, 21, 0, 0, 0, 0, 3, 24
"c:\Users\Admin\Desktop\KPGU Website\src\components\Pages\Campus\pages\Infrastructure\Cafeteria.jsx", "JavaScript JSX", 0, 0, 0, 21, 0, 0, 0, 0, 2, 23
"c:\Users\Admin\Desktop\KPGU Website\src\components\Pages\Campus\pages\Infrastructure\HostelMess.jsx", "JavaScript JSX", 0, 0, 0, 21, 0, 0, 0, 0, 3, 24
"c:\Users\Admin\Desktop\KPGU Website\src\components\Pages\Campus\pages\Infrastructure\HostelRoom.jsx", "JavaScript JSX", 0, 0, 0, 21, 0, 0, 0, 0, 3, 24
"c:\Users\Admin\Desktop\KPGU Website\src\components\Pages\Campus\pages\Infrastructure\Hostels.jsx", "JavaScript JSX", 0, 0, 0, 21, 0, 0, 0, 0, 3, 24
"c:\Users\Admin\Desktop\KPGU Website\src\components\Pages\Campus\pages\Infrastructure\Infrastructure.jsx", "JavaScript JSX", 0, 0, 0, 126, 0, 0, 0, 0, 7, 133
"c:\Users\Admin\Desktop\KPGU Website\src\components\Pages\Campus\pages\Infrastructure\Laboratories.jsx", "JavaScript JSX", 0, 0, 0, 21, 0, 0, 0, 0, 2, 23
"c:\Users\Admin\Desktop\KPGU Website\src\components\Pages\Campus\pages\Infrastructure\Library.jsx", "JavaScript JSX", 0, 0, 0, 27, 0, 0, 0, 0, 2, 29
"c:\Users\Admin\Desktop\KPGU Website\src\components\Pages\Campus\pages\Infrastructure\MultimediaClassrooms.jsx", "JavaScript JSX", 0, 0, 0, 21, 0, 0, 0, 0, 2, 23
"c:\Users\Admin\Desktop\KPGU Website\src\components\Pages\Campus\pages\Infrastructure\Parking.jsx", "JavaScript JSX", 0, 0, 0, 21, 0, 0, 0, 0, 2, 23
"c:\Users\Admin\Desktop\KPGU Website\src\components\Pages\Campus\pages\Infrastructure\Playground.jsx", "JavaScript JSX", 0, 0, 0, 21, 0, 0, 0, 0, 2, 23
"c:\Users\Admin\Desktop\KPGU Website\src\components\Pages\Campus\pages\Infrastructure\RoPlant.jsx", "JavaScript JSX", 0, 0, 0, 21, 0, 0, 0, 0, 4, 25
"c:\Users\Admin\Desktop\KPGU Website\src\components\Pages\Campus\pages\Infrastructure\SmartClassrooms.jsx", "JavaScript JSX", 0, 0, 0, 21, 0, 0, 0, 0, 2, 23
"c:\Users\Admin\Desktop\KPGU Website\src\components\Pages\Campus\pages\Infrastructure\StationaryStall.jsx", "JavaScript JSX", 0, 0, 0, 21, 0, 0, 0, 0, 3, 24
"c:\Users\Admin\Desktop\KPGU Website\src\components\Pages\Campus\pages\Infrastructure\Workshop.jsx", "JavaScript JSX", 0, 0, 0, 21, 0, 0, 0, 0, 3, 24
"c:\Users\Admin\Desktop\KPGU Website\src\components\Pages\Home\BannerSlide.jsx", "JavaScript JSX", 0, 0, 0, 79, 0, 0, 0, 0, 5, 84
"c:\Users\Admin\Desktop\KPGU Website\src\components\Pages\Home\Events.jsx", "JavaScript JSX", 0, 0, 0, 98, 0, 0, 0, 0, 6, 104
"c:\Users\Admin\Desktop\KPGU Website\src\components\Pages\Home\Home.jsx", "JavaScript JSX", 0, 0, 0, 19, 0, 0, 0, 1, 4, 24
"c:\Users\Admin\Desktop\KPGU Website\src\components\Pages\Home\JourneyAhead.jsx", "JavaScript JSX", 0, 0, 0, 306, 0, 0, 0, 1, 5, 312
"c:\Users\Admin\Desktop\KPGU Website\src\components\Pages\Home\News.jsx", "JavaScript JSX", 0, 0, 0, 98, 0, 0, 0, 0, 6, 104
"c:\Users\Admin\Desktop\KPGU Website\src\components\Pages\Home\Testimonials.jsx", "JavaScript JSX", 0, 0, 0, 350, 0, 0, 0, 0, 10, 360
"c:\Users\Admin\Desktop\KPGU Website\src\components\Pages\index.js", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 2
"c:\Users\Admin\Desktop\KPGU Website\src\components\layout\BootstrapNavbar\DesktopNav.jsx", "JavaScript JSX", 0, 0, 0, 337, 0, 0, 0, 9, 17, 363
"c:\Users\Admin\Desktop\KPGU Website\src\components\layout\BootstrapNavbar\MainNavStyle.css", "CSS", 0, 0, 0, 0, 292, 0, 0, 0, 27, 319
"c:\Users\Admin\Desktop\KPGU Website\src\components\layout\BootstrapNavbar\MainNavbar.jsx", "JavaScript JSX", 0, 0, 0, 14, 0, 0, 0, 0, 4, 18
"c:\Users\Admin\Desktop\KPGU Website\src\components\layout\BootstrapNavbar\MobileNav.jsx", "JavaScript JSX", 0, 0, 0, 240, 0, 0, 0, 0, 16, 256
"c:\Users\Admin\Desktop\KPGU Website\src\components\layout\ContactNavbar.jsx", "JavaScript JSX", 0, 0, 0, 220, 0, 0, 0, 2, 5, 227
"c:\Users\Admin\Desktop\KPGU Website\src\components\layout\Footer\Footer.jsx", "JavaScript JSX", 0, 0, 0, 7, 0, 0, 0, 0, 2, 9
"c:\Users\Admin\Desktop\KPGU Website\src\components\layout\MuiNavBar\NavBar\DesktopNavBar\DesktopNavBar.jsx", "JavaScript JSX", 0, 0, 0, 94, 0, 0, 0, 0, 6, 100
"c:\Users\Admin\Desktop\KPGU Website\src\components\layout\MuiNavBar\NavBar\Drawer.jsx", "JavaScript JSX", 0, 0, 0, 176, 0, 0, 0, 0, 7, 183
"c:\Users\Admin\Desktop\KPGU Website\src\components\layout\MuiNavBar\NavBar\Links.js", "JavaScript", 539, 0, 0, 0, 0, 0, 0, 102, 1, 642
"c:\Users\Admin\Desktop\KPGU Website\src\components\layout\MuiNavBar\NavBar\MainNavBar.jsx", "JavaScript JSX", 0, 0, 0, 43, 0, 0, 0, 0, 5, 48
"c:\Users\Admin\Desktop\KPGU Website\src\components\layout\MuiNavBar\NavBar\MobileNavBar\MobileNavbar.jsx", "JavaScript JSX", 0, 0, 0, 206, 0, 0, 0, 0, 7, 213
"c:\Users\Admin\Desktop\KPGU Website\src\components\layout\MuiNavBar\NavBar\NavBar.jsx", "JavaScript JSX", 0, 0, 0, 15, 0, 0, 0, 0, 5, 20
"c:\Users\Admin\Desktop\KPGU Website\src\contexts\AppContext.jsx", "JavaScript JSX", 0, 0, 0, 20, 0, 0, 0, 0, 6, 26
"c:\Users\Admin\Desktop\KPGU Website\src\index.css", "CSS", 0, 0, 0, 0, 10, 0, 0, 0, 3, 13
"c:\Users\Admin\Desktop\KPGU Website\src\main.jsx", "JavaScript JSX", 0, 0, 0, 11, 0, 0, 0, 0, 2, 13
"c:\Users\Admin\Desktop\KPGU Website\vite.config.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 1, 2, 8
"Total", "-", 566, 13, 4933, 9991, 480, 1, 5, 167, 769, 16925
